,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered,total infected,accumulated cases,critical cases recovery rate,death rate,deimmunization rate,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,isolated critical case rate,symptomatic rate,new cases,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,fraction of symptomatic,non controlled population,incidence per 100000,case fatality rate,total infection rate,contacts per person symptomatic self,init total population,first infection
0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.03749999999999999,0.1875,0.0,8000000.0,0.0,0.0,0.0,15.0,8000000,1
1.0,1.1224127787422011,0.049862621085897285,0.0003132037361815526,2.9933376669750313e-06,7999998.798008207,0.0,0.02940019877594169,1.1722753998280984,0.05306949188938718,1.8792224170893154e-05,1.2528149447262104e-05,8.166721882206025e-05,0.05612063893711006,0.0009972524217179458,0.008975271795461513,0.4302539688537094,0.4209047288044481,0.0,0.009349240049261324,0.0,0.0,0.0,0.0,0.11224127787422011,0.11224127787422011,0.375,0.03749999999999999,0.1875,0.04253490356720708,7999999.999683806,0.0006633686486173398,5.640411393450025e-05,0.4302539688537094,15.0,8000000,0
2.0,1.425925096589954,0.15603660299447053,0.0022308957111239897,4.684608545292e-05,7999998.305010057,0.0,0.11075050369073103,1.5819616995844243,0.17951671224203342,0.0001338537426674394,8.923582844495959e-05,0.0003076402880298084,0.0712962548294977,0.003120732059889411,0.028086588539004698,0.5639786549509767,0.5347217980799446,0.0,0.02925685687103208,0.0,0.0,0.0,0.0,0.1425925096589954,0.1425925096589954,0.375,0.03749999999999999,0.1875,0.09863488037381739,7999999.997722261,0.002243958903025418,0.000260956681235114,0.5639786549509767,15.0,8000000,0
3.0,1.829284094951344,0.2749088437341626,0.006097478155794849,0.00020558244123543024,7999997.659851979,0.0,0.22965202425040535,2.1041929386855065,0.34102318632299705,0.00036584868934769096,0.00024389912623179396,0.0006379222895844592,0.0914642047475672,0.005498176874683252,0.04948359187214926,0.7375267286477165,0.6859813354849349,0.0,0.05154539316278156,0.0,0.0,0.0,0.0,0.1829284094951344,0.1829284094951344,0.375,0.03749999999999999,0.1875,0.1306481162824825,7999999.993696942,0.004262789829037463,0.0006028400691814388,0.7375267286477165,15.0,8000000,0
4.0,2.361073713281691,0.414496911255725,0.012043660455876086,0.0005592413604324922,7999996.817077049,0.0,0.3947494290003609,2.7755706245374157,0.5489145498252983,0.0007226196273525652,0.00048174641823504346,0.0010965261916676692,0.11805368566408454,0.008289938225114502,0.07460944402603051,0.9631204316659283,0.8854022916044144,0.0,0.07771814006151395,0.0,0.0,0.0,0.0,0.23610737132816909,0.23610737132816909,0.375,0.03749999999999999,0.1875,0.14933754795909984,7999999.987397103,0.0068614318728162284,0.0010188131478942953,0.9631204316659283,15.0,8000000,0
5.0,3.058901156387241,0.5843565800784313,0.02035413419338793,0.0011960708274110382,7999995.717308405,0.0,0.6178836551799565,3.643257736465672,0.8177996926975871,0.0012212480516032758,0.0008141653677355172,0.0017163434866109902,0.15294505781936205,0.011687131601568626,0.10518418441411763,1.2566541230619506,1.1470873226572296,0.0,0.10956680040472108,0.0,0.0,0.0,0.0,0.3058901156387241,0.3058901156387241,0.375,0.03749999999999999,0.1875,0.16039397219404963,7999999.978449796,0.010222496158719839,0.0014625474160618588,1.2566541230619506,15.0,8000000,0
6.0,3.972054943136005,0.7962389028393938,0.031488257995567426,0.002219057557713582,7999994.283060449,0.0,0.9149383883881117,4.768293845975399,1.1665979217379085,0.0018892954797340455,0.0012595303198226972,0.00254149552330031,0.19860274715680024,0.015924778056787877,0.1433230025110909,1.638814233737321,1.4895195455145587,0.0,0.14929468822276248,0.0,0.0,0.0,0.0,0.39720549431360047,0.39720549431360047,0.375,0.03749999999999999,0.1875,0.1669861230367433,7999999.966292684,0.014582474021723857,0.0019021614185698182,1.638814233737321,15.0,8000000,0
7.0,5.164985051816176,1.0649056071331597,0.04611271683254824,0.003753513308429299,7999992.41327392,0.0,1.3069691916454658,6.229890658949335,1.6198706081693754,0.002766763009952894,0.0018445086733019293,0.0036304699767929606,0.2582492525908088,0.021298112142663195,0.19168300928396875,2.1365371829189606,1.9368675696919078,0.0,0.19966961322705262,0.0,0.0,0.0,0.0,0.5164985051816176,0.5164985051816176,0.375,0.03749999999999999,0.1875,0.1709348791865883,7999999.950133771,0.020248382602117195,0.002317168599454474,2.1365371829189606,15.0,8000000,0
8.0,6.72185080729474,1.4091595411228486,0.06514855080168053,0.005956240952405565,7999989.97618948,0.0,1.8216953818310675,8.13101034841759,2.2095510729497927,0.0039089130481008314,0.0026059420320672213,0.005060264949530743,0.336092540364737,0.02818319082245697,0.25364871740211276,2.784908002020492,2.520690916769732,0.0,0.26421708525075993,0.0,0.0,0.0,0.0,0.672185080729474,0.672185080729474,0.375,0.03749999999999999,0.1875,0.17330681929301578,7999999.92889521,0.02761938841187241,0.002695679237888749,2.784908002020492,15.0,8000000,0
9.0,8.752457354144614,1.8531622138142623,0.08983593975995775,0.009026918101906698,7999986.800057354,0.0,2.4954602193862434,10.605619567958875,2.977194563961509,0.0053901563855974655,0.00359343759039831,0.006931833942739565,0.4376228677072307,0.03706324427628525,0.33356919848656724,3.629633478869871,3.2821661328053136,0.0,0.3474673460645572,0.0,0.0,0.0,0.0,0.8752457354144614,0.8752457354144614,0.375,0.03749999999999999,0.1875,0.17473398908376234,7999999.901137142,0.03721493204951886,0.0030320215585424547,3.629633478869871,15.0,8000000,0
10.0,11.399999383779118,2.4281308415581173,0.121821365017373,0.013222494890400303,7999982.661028007,0.0,3.3757979086839547,13.828130225337235,3.976906863991857,0.00730928190104238,0.00487285460069492,0.009377216413010986,0.5699999691889559,0.04856261683116235,0.43706355148046117,4.730264129296752,4.274990575568414,0.0,0.4552735537283375,0.0,0.0,0.0,0.0,1.1399999383779118,1.1399999383779118,0.375,0.03749999999999999,0.1875,0.1755935764264833,7999999.864956141,0.04971133579989821,0.0033248188460536644,4.730264129296752,15.0,8000000,0
11.0,14.85115811959265,3.1745341636658995,0.1632733336654175,0.018875616904026605,7999977.267370153,0.0,4.524788617625251,18.02569228325855,5.279157922920743,0.009796400019925048,0.006530933346616701,0.012568857271181254,0.7425579059796326,0.063490683273318,0.5714161494598619,6.164392074234507,5.569168596373877,0.0,0.5952234778606298,0.0,0.0,0.0,0.0,1.4851158119592651,1.4851158119592651,0.375,0.03749999999999999,0.1875,0.17611163631225768,7999999.8178510545,0.06598947403650929,0.0035754976796722716,6.164392074234507,15.0,8000000,0
12.0,19.34926337612515,4.1449415244066765,0.21703485440611767,0.026418369441889758,7999970.238903653,0.0,6.02343822177462,23.494204900531827,6.9757493045151,0.013022091264367059,0.008681394176244707,0.016731772838262833,0.9674631688062576,0.08289883048813354,0.7460894743932018,8.03312066191431,7.255946993640599,0.0,0.777173668273711,0.0,0.0,0.0,0.0,1.9349263376125152,1.9349263376125152,0.375,0.03749999999999999,0.1875,0.17642399655384164,7999999.756546776,0.08719686630643875,0.0037871730030192303,8.03312066191431,15.0,8000000,0
